"seqnames","start","end","min_smoothed_fdr","meandiff","overlapping.genes","probes","Source"
"chr21",15352848,15352983,0.228727724720091,-0.0736627922067349,NA,"cg02197629;cg10044179","CoRSIV"
"chr16",2908554,2908934,0.0124955068477002,0.0348349933866155,NA,"cg19328294;cg05895034;cg09745688;cg05490519","CoRSIV"
"chr8",144367072,144367553,0.579404449155555,0.00420053618073318,NA,"cg09076216;cg13283845;cg19657945;cg17628060","CoRSIV"
"chr19",21264896,21265421,0.122182730042533,-0.0837649359846548,NA,"cg01483656;cg06238316;cg09352518","CoRSIV"
"chr6",29404724,29404733,0.228727724720091,-0.027780149776357,"OR5V1","cg17512539;cg02270518;cg15148691","CoRSIV"
"chr19",22700397,22701260,0.370903140872812,0.0249136036089799,"AC024563.1","cg21867110;cg17780447;cg08206906","CoRSIV"
"chr19",49000743,49001890,0.151193985919185,-0.0450740133729753,"RUVBL2","cg20724680;cg02784823;cg26280727;cg06862049","CoRSIV"
"chr1",1226929,1227307,0.999910303772056,0.012409688245098,"SDF4","cg15683497;cg20978193","CoRSIV"
"chr1",9131622,9131783,0.999910303772056,0.00185869547996585,NA,"cg02289343;cg17243628","CoRSIV"
"chr1",16847214,16847839,0.449770952148931,-0.016572387673913,"CROCC","cg06849778;cg07925738","CoRSIV"
"chr1",17004764,17004808,0.999910303772056,0.00286229528900253,"AL049569.1, ATP13A2","cg12442246;cg13486430","CoRSIV"
"chr1",26490540,26490628,0.999910303772056,-0.0128719231419438,NA,"cg24519413;cg03844060","CoRSIV"
"chr1",26527909,26527928,0.999910303772056,0.00353810528644488,NA,"cg08133631;cg20415053","CoRSIV"
"chr1",28572299,28573052,0.999910303772056,0.00218640948039212,"TRNAU1AP","cg02251754;cg04993605","CoRSIV"
"chr1",75592950,75593018,0.999910303772056,-0.000866828201193536,"SLC44A5","cg01005080;cg09766820","CoRSIV"
"chr1",76189707,76189770,0.999910303772056,0.0113726873657289,"ST6GALNAC3","cg22875332;cg10523679","CoRSIV"
"chr1",149186391,149187149,0.730837067630525,-0.023833328029838,"AC245297.3","cg22700790;cg11710152","CoRSIV"
"chr1",153599704,153599831,0.999910303772056,-0.0258540195136403,"BX470102.2","cg11343894;cg02331910","CoRSIV"
"chr1",161349006,161349116,0.960199477787429,-0.0677342738265133,"SDHC","cg02954704;cg25597117","CoRSIV"
"chr1",180923076,180923340,0.999910303772056,-0.0289342969791134,"KIAA1614","cg00579423;cg03058232","CoRSIV"
"chr1",182921851,182921857,0.999910303772056,-0.00500540887595909,"SHCBP1L","cg02710296;cg08787039","CoRSIV"
"chr1",228075423,228075749,0.999910303772056,-0.0240186015498722,"LINC02809","cg13092405;cg10962762","CoRSIV"
"chr1",247569605,247569791,0.969749802012569,0.0462396078090367,"GCSAML, AL606804.1","cg02567750;cg02274974","CoRSIV"
"chr2",863889,863938,0.999910303772056,0.0198673993606138,"LINC01115","cg06699195;cg06791546","CoRSIV"
"chr2",1801628,1802045,0.999910303772056,0.0383329088235294,"AC093390.2, MYT1L","cg21862353;cg26094651","CoRSIV"
"chr2",3486749,3487164,0.999910303772056,0.000309491560102337,NA,"cg15541040;cg08493051","CoRSIV"
"chr2",74357851,74357872,0.999910303772056,-0.0336163497442456,"AC006030.1","cg20891558;cg19729930","CoRSIV"
"chr2",91936984,91937035,0.818718845363003,0.0194342667233589,NA,"cg05354971;cg24938881","CoRSIV"
"chr2",92262463,92262806,0.999910303772056,-0.0018112238098891,NA,"cg04944682;cg05269440","CoRSIV"
"chr2",95523721,95524174,0.999910303772056,-0.00331583256606991,NA,"cg00224886;cg04693256","CoRSIV"
"chr2",108904503,108904812,0.864965321319762,0.0282561194373402,"EDAR","cg17287107;cg13968390","CoRSIV"
"chr2",112898400,112898493,0.999910303772056,0.0193875174603581,NA,"cg09982942;cg17240135","CoRSIV"
"chr2",121433170,121433298,0.999910303772056,0.00621516771952261,"CLASP1","cg12736501;cg06573245","CoRSIV"
"chr2",130691738,130691882,0.999910303772056,-0.00101803924467177,"FAR2P3","cg08886046;cg11722376","CoRSIV"
"chr2",131009324,131009681,0.780834068455451,0.0353892567753623,"ARHGEF4","cg19257464;cg14417784","CoRSIV"
"chr2",233216150,233216220,0.999910303772056,0.00961884325191817,"ATG16L1","cg17871621;cg11946719","CoRSIV"
"chr2",235453863,235453893,0.999910303772056,-0.0045417649249787,NA,"cg03594311;cg09547625","CoRSIV"
"chr2",240241154,240241218,0.999910303772056,-0.00936609543265139,"AC124861.1","cg07673080;cg10639368","CoRSIV"
"chr3",10806114,10806133,0.999910303772056,0.00823914569437341,NA,"cg22843684;cg22620414","CoRSIV"
"chr3",13594970,13595054,0.739694069596765,0.0140990723358909,"FBLN2","cg23080199;cg02832485","CoRSIV"
"chr3",50230536,50230988,0.999910303772056,0.000894244305200358,"GNAI2","cg04383462;cg03855994","CoRSIV"
"chr3",100401200,100401284,0.999910303772056,-0.00375788118670082,NA,"cg18745424;cg00186462","CoRSIV"
"chr3",138763894,138763899,0.999910303772056,-0.0164250229497017,"PIK3CB","cg24530147;cg14325153","CoRSIV"
"chr3",195576390,195576629,0.999910303772056,0.018093672473572,"APOD","cg15729578;cg01079515","CoRSIV"
"chr4",640348,640503,0.999910303772056,0.0193326475238705,"PDE6B","cg26693817;cg11229771","CoRSIV"
"chr4",1243980,1244006,0.999910303772056,-0.0183022237966752,"CTBP1","cg26479374;cg16399632","CoRSIV"
"chr4",1567878,1567939,0.999910303772056,0.0166201904092072,NA,"cg26116639;cg03237316","CoRSIV"
"chr4",1580193,1580377,0.999910303772056,-0.0192416691129582,"AC147067.1","cg13943068;cg03393996","CoRSIV"
"chr4",2303638,2303660,0.999910303772056,-0.00303966559633425,"AL158068.2, ZFYVE28","cg07042007;cg14405197","CoRSIV"
"chr4",3597580,3597739,0.999910303772056,0.0023032291679454,NA,"cg25076318;cg17563376","CoRSIV"
"chr4",6675309,6675513,0.999910303772056,-0.0131881559335038,"AC093323.1","cg04672903;cg23576358","CoRSIV"
"chr4",25162716,25162898,0.999910303772056,-0.000793656074168802,"SEPSECS-AS1, PI4K2B","cg19113954;cg02722613","CoRSIV"
"chr4",56023843,56023921,0.999910303772056,0.00913424924467178,"CEP135","cg01777861;cg09978860","CoRSIV"
"chr4",74921023,74921425,0.999910303772056,-0.00416111909633415,NA,"cg03163246;cg12684958","CoRSIV"
"chr4",89619051,89619053,0.999910303772056,-0.0051215404582268,"AC093866.1, AC097478.4","cg19151808;cg01026744","CoRSIV"
"chr4",170695598,170696369,0.999910303772056,-0.00992665976129589,NA,"cg03122247;cg23337866","CoRSIV"
"chr5",53545,53564,0.999910303772056,0.00407343876982097,NA,"cg05648010;cg22807585","CoRSIV"
"chr5",565934,565937,0.999910303772056,0.0282587777058824,NA,"cg01299774;cg04136185","CoRSIV"
"chr5",27472520,27472542,0.999910303772056,0.00834249075021316,"PURPL","cg08221830;cg02003460","CoRSIV"
"chr5",37952598,37952644,0.810929893494595,0.00524386043052003,"GDNF-AS1","cg10606029;cg14121987","CoRSIV"
"chr5",132323674,132323789,0.999910303772056,-0.00198846578644497,"SLC22A4, MIR3936HG","cg02082720;cg26083389","CoRSIV"
"chr5",140220803,140220810,0.999910303772056,0.00360794697357202,"CYSTM1","cg04634417;cg02560085","CoRSIV"
"chr5",176797920,176797999,0.899599163561298,0.0744987636577153,NA,"cg06060754;cg16006841","CoRSIV"
"chr5",179059426,179059668,0.999910303772056,0.00745565699786867,NA,"cg24585418;cg26135573","CoRSIV"
"chr6",362023,362047,0.969749802012569,0.00411180008439892,NA,"cg22776235;cg07977946","CoRSIV"
"chr6",10099623,10099656,0.999910303772056,0.0249792449279625,"OFCC1","cg16613240;cg09285851","CoRSIV"
"chr6",28830902,28831109,0.999910303772056,-0.0100635629156011,NA,"cg16677399;cg00903577","CoRSIV"
"chr6",28853021,28853050,0.999910303772056,-0.0185071242595909,NA,"cg24867279;cg26481402","CoRSIV"
"chr6",31237824,31238036,0.69342781691709,0.0277059775362319,NA,"cg11247343;cg13872627","CoRSIV"
"chr6",32427751,32427868,0.999910303772056,-0.0237328794543904,NA,"cg15837308;cg12672189","CoRSIV"
"chr6",79339334,79339518,0.999910303772056,0.0166807045174765,NA,"cg11074783;cg21365924","CoRSIV"
"chr6",159360073,159360209,0.812229840153219,0.0309138256790281,"AL357832.1","cg16073143;cg18373855","CoRSIV"
"chr6",160182438,160182447,0.999910303772056,0.0274334350170503,"SLC22A2","cg15298323;cg06131755","CoRSIV"
"chr6",161561031,161561066,0.810929893494595,0.0145084569978687,"PRKN","cg26834192;cg09655876","CoRSIV"
"chr6",170055155,170055332,0.999910303772056,0.0120762846547315,NA,"cg11938672;cg18322025","CoRSIV"
"chr6",170732253,170732353,0.999910303772056,0.0152805689416027,"AL672310.1","cg18217622;cg07257824","CoRSIV"
"chr7",4305042,4305061,0.999910303772056,0.0214172038363172,NA,"cg20597403;cg12190994","CoRSIV"
"chr7",6867070,6867074,0.810929893494595,0.00983239914748509,"OR7E136P","cg06141004;cg00795616","CoRSIV"
"chr7",23220582,23220997,0.999910303772056,0.00660187186700766,NA,"cg00731739;cg20723844","CoRSIV"
"chr7",32358331,32358540,0.999910303772056,-0.0167804510230179,"PDE1C","cg27532318;cg27511599","CoRSIV"
"chr7",44078913,44079036,0.999910303772056,0.00774526467178177,"POLM","cg07019075;cg14743534","CoRSIV"
"chr7",44152238,44152333,0.999910303772056,0.0023006979113384,"GCK","cg06475514;cg18628255","CoRSIV"
"chr7",64034943,64035529,0.999910303772056,0.0131022323103154,NA,"cg03873153;cg21144063","CoRSIV"
"chr7",64043012,64043193,0.999910303772056,-0.00437999702173913,NA,"cg07063559;cg19103175","CoRSIV"
"chr7",134856562,134856654,0.999910303772056,0.00947386163682862,"CALD1, AC083870.1","cg19882784;cg19889856","CoRSIV"
"chr7",135662562,135662974,0.810929893494595,-0.0412796385136403,"STMP1","cg21537187;cg22530927","CoRSIV"
"chr7",142705139,142705225,0.999910303772056,-0.00101571599957375,NA,"cg21245936;cg06564125","CoRSIV"
"chr7",155151195,155151427,0.999910303772056,0.0121979509032395,NA,"cg26463496;cg14927855","CoRSIV"
"chr7",158766061,158766336,0.999910303772056,-0.0100157439471441,"ESYT2","cg25332918;cg01219135","CoRSIV"
"chr7",158905015,158905536,0.999910303772056,0.0199446883286445,"DYNC2I1","cg05554000;cg08479516","CoRSIV"
"chr8",697110,697169,0.512304886771214,0.0178089003836318,"ERICH1","cg11774251;cg00641933","CoRSIV"
"chr8",1153329,1153402,0.999910303772056,-0.00113031010230173,"DLGAP2","cg07699771;cg23785114","CoRSIV"
"chr8",1757958,1758023,0.999910303772056,-0.00121669778346107,"CLN8","cg03411742;cg14682990","CoRSIV"
"chr8",2591207,2591411,0.999910303772056,0.00055604100255757,"AC245123.1","cg04671734;cg08242633","CoRSIV"
"chr8",57030523,57030824,0.999910303772056,-0.00432568143393009,NA,"cg08415582;cg18041277","CoRSIV"
"chr8",83353753,83353898,0.514919219051309,0.0203639067719523,NA,"cg25434864;cg12168112","CoRSIV"
"chr8",141359674,141359786,0.904514240965185,0.0308558938192669,"GPR20","cg06565641;cg11256152","CoRSIV"
"chr8",142401534,142401722,0.969749802012569,0.0265316215196078,"TSNARE1","cg17903548;cg22052514","CoRSIV"
"chr8",145755804,145755974,0.999910303772056,-0.000579041176470554,NA,"cg13514324;cg26259926","CoRSIV"
"chr9",68410538,68411051,0.999910303772056,-0.0159662526427964,"PGM5","cg13693646;cg15850063","CoRSIV"
"chr10",464042,464225,0.999910303772056,0.0158005637890026,"DIP2C","cg26499095;cg05528280","CoRSIV"
"chr10",835070,835505,0.999910303772056,0.00322128910102304,"LARP4B","cg10556349;cg20503657","CoRSIV"
"chr10",2543474,2543763,0.999910303772056,0.0312660425277067,"AL713851.1","cg18171855;cg15501526","CoRSIV"
"chr10",3564782,3564803,0.999910303772056,0.00172364745694787,NA,"cg01448155;cg23503075","CoRSIV"
"chr10",18550135,18550223,0.999910303772056,0.00962945316965051,"NSUN6","cg26576398;cg15720089","CoRSIV"
"chr10",27235598,27235627,0.999910303772056,-0.00163922636743394,"ACBD5","cg20137746;cg02617791","CoRSIV"
"chr10",114912080,114912149,0.999910303772056,0.00254499899403234,NA,"cg15807455;cg17608440","CoRSIV"
"chr10",126222996,126223236,0.999910303772056,0.0125305623248082,"ADAM12","cg25260426;cg04726013","CoRSIV"
"chr10",131989784,131989849,0.999910303772056,4.01760899403575e-05,NA,"cg26187194;cg11372818","CoRSIV"
"chr10",132099553,132100019,0.999910303772056,-0.0581006735464621,"JAKMIP3","cg07040013;cg12765123","CoRSIV"
"chr10",134304028,134304461,0.999910303772056,0.00207149066496175,NA,"cg25798024;cg12538467","CoRSIV"
"chr10",135259565,135259860,0.999910303772056,0.0114810346001705,NA,"cg05670004;cg16692735","CoRSIV"
"chr10",135436063,135436174,0.999910303772056,0.00447740571184997,NA,"cg14291745;cg22165279","CoRSIV"
"chr11",358332,358438,0.999910303772056,6.81114514066753e-05,NA,"cg09929763;cg11062778","CoRSIV"
"chr11",396794,397077,0.999910303772056,0.0258328837412617,"PKP3","cg25258098;cg01794156","CoRSIV"
"chr11",1283946,1283970,0.999910303772056,0.0147092159109122,"TOLLIP","cg01274643;cg15363314","CoRSIV"
"chr11",58598239,58598338,0.999910303772056,0.0167196013520886,"ZFP91, ZFP91-CNTF","cg02220129;cg11909574","CoRSIV"
"chr11",68637568,68637592,0.999910303772056,-0.00380630859292414,NA,"cg04772025;cg06028808","CoRSIV"
"chr11",69813290,69813323,0.999910303772056,-0.000694551194799689,"FGF3","cg08291433;cg23207244","CoRSIV"
"chr11",112096625,112096781,0.999910303772056,0.0132217775106564,"SDHD, AP002884.2","cg15300101;cg12822818","CoRSIV"
"chr11",125744082,125744170,0.999910303772056,0.00248033520886617,NA,"cg22125989;cg10103906","CoRSIV"
"chr11",133658009,133658113,0.999910303772056,-0.0170126681675191,NA,"cg11395954;cg10486069","CoRSIV"
"chr11",133703094,133703707,0.999910303772056,-0.0132833866611253,NA,"cg06766960;cg14349672","CoRSIV"
"chr12",312595,313104,0.969749802012569,-0.0323885469011083,"KDM5A","cg05860956;cg20188212","CoRSIV"
"chr12",2017093,2017134,0.999910303772056,0.00850689224211426,"CACNA1C","cg11957400;cg24856673","CoRSIV"
"chr12",19936477,19936611,0.999910303772056,-0.0115556127510657,"AC024901.1","cg00697301;cg07238058","CoRSIV"
"chr12",39538604,39538854,0.999910303772056,-0.0024285544330776,NA,"cg03562770;cg20762480","CoRSIV"
"chr12",57040199,57040204,0.999910303772056,0.00119388705115089,"MYO1A","cg03249590;cg06679265","CoRSIV"
"chr12",113842988,113842998,0.810929893494595,0.00379187583120206,"RBM19","cg16937004;cg15277108","CoRSIV"
"chr12",130765858,130766091,0.999910303772056,0.00191544017092925,NA,"cg11710851;cg14604444","CoRSIV"
"chr12",130823838,130824015,0.999910303772056,-0.0159854647046036,"STX2","cg23548151;cg13900773","CoRSIV"
"chr12",132293329,132293388,0.999910303772056,0.0106602171781756,"GALNT9","cg00078996;cg04063615","CoRSIV"
"chr12",132335537,132336407,0.999910303772056,0.0055081952800512,NA,"cg11904978;cg10890403","CoRSIV"
"chr12",133050826,133051136,0.999910303772056,0.0302792708175618,"ZNF84","cg25822783;cg07099606","CoRSIV"
"chr13",24901961,24902500,0.999910303772056,0.00928673715728893,"CENPJ","cg02811702;cg17537073","CoRSIV"
"chr13",50194554,50194643,0.999910303772056,0.00907559537084393,"DLEU1","cg08779649;cg03651054","CoRSIV"
"chr13",97646639,97646731,0.999910303772056,-0.00762468394714407,NA,"cg03371199;cg13990092","CoRSIV"
"chr13",112575735,112575966,0.989979418702679,0.0269527105660699,"TUBGCP3","cg08121117;cg11336860","CoRSIV"
"chr13",112823367,112823520,0.999910303772056,0.0171399780903666,"ATP11A","cg09897501;cg01698579","CoRSIV"
"chr13",112978683,112978703,0.999910303772056,0.0126064219522592,"MCF2L","cg20923605;cg19891452","CoRSIV"
"chr13",113540512,113540557,0.254622009597902,0.0281211440758738,"TMCO3","cg11462099;cg26666292","CoRSIV"
"chr13",114165365,114165391,0.770580278754514,0.00347634468456927,"CFAP97D2","cg19120073;cg22448360","CoRSIV"
"chr13",114964101,114964125,0.879830537580073,0.0346924514475704,NA,"cg24126612;cg03120147","CoRSIV"
"chr13",114965537,114966314,0.999910303772056,-0.0022899701193521,NA,"cg07615111;cg10875695","CoRSIV"
"chr14",21148814,21148957,0.999910303772056,-0.0047358916453538,"OR5AU1","cg05211480;cg05300029","CoRSIV"
"chr14",93698053,93698416,0.999910303772056,-0.00641460874126175,"UNC79","cg16602316;cg12944343","CoRSIV"
"chr15",27083993,27083996,0.999910303772056,-0.00463225826939466,"GABRG3, GABRG3-AS1","cg25070075;cg02633068","CoRSIV"
"chr15",41100233,41100308,0.999910303772056,-0.0114868047144075,"INO80","cg25498107;cg13045913","CoRSIV"
"chr15",93617833,93618028,0.999910303772056,0.00130173213981248,"AC110023.1","cg25059434;cg08695357","CoRSIV"
"chr15",97307874,97307936,0.999910303772056,0.0038827792310315,"LINC02253, AC020704.1","cg18696321;cg22582617","CoRSIV"
"chr16",1152474,1152511,0.999910303772056,0.00885822282139814,NA,"cg04004158;cg06394109","CoRSIV"
"chr16",33852801,33853544,0.969749802012569,0.0107938655532821,NA,"cg03843892;cg26608798","CoRSIV"
"chr16",86825363,86825505,0.999910303772056,0.0126713154731458,NA,"cg07524214;cg05661093","CoRSIV"
"chr16",88744522,88744681,0.999910303772056,0.00564601241858487,"AC138028.1, PIEZO1","cg00796866;cg00546448","CoRSIV"
"chr16",90148683,90148775,0.969749802012569,0.00987451300341006,"FAM157C, AC133919.2","cg27464877;cg06173319","CoRSIV"
"chr17",57053,57120,0.999910303772056,0.0459569056777494,NA,"cg26536949;cg05528899","CoRSIV"
"chr17",114061,114250,0.999910303772056,0.000922295524296626,"AC240565.2","cg17079806;cg27461422","CoRSIV"
"chr17",123575,123605,0.999910303772056,-0.00113784168797957,NA,"cg00684171;cg17027101","CoRSIV"
"chr17",739376,739405,0.999910303772056,0.00577606350127869,"TLCD3A","cg13583272;cg03255749","CoRSIV"
"chr17",4804674,4804838,0.999910303772056,0.0146026518329071,"AC233723.1","cg10553748;cg09495303","CoRSIV"
"chr17",15522876,15522897,0.999910303772056,-0.00188622425404941,"TVP23C-CDRT4, TVP23C","cg07048519;cg06962787","CoRSIV"
"chr17",18023971,18024636,0.999910303772056,-0.0110105339215688,"ATPAF2","cg04398451;cg20670488","CoRSIV"
"chr17",21226435,21226533,0.999910303772056,-0.00631357576896845,"AC087294.1","cg13567725;cg02538829","CoRSIV"
"chr17",33759512,33759573,0.999910303772056,0.0260028719053709,"ASIC2","cg03251655;cg19963856","CoRSIV"
"chr17",41437877,41437982,0.999910303772056,-0.0117816830758738,"KRT38","cg10360323;cg23758822","CoRSIV"
"chr17",45401733,45401833,0.999910303772056,-0.0107712973188406,"ARHGAP27","cg25173405;cg08085267","CoRSIV"
"chr17",48585216,48585270,0.999910303772056,-0.0384848041346974,"HOXB-AS3, HOXB3","cg11440486;cg00901687","CoRSIV"
"chr17",79657406,79657412,0.79212501914952,0.00277096526001699,NA,"cg01815074;cg24738171","CoRSIV"
"chr17",80449551,80449738,0.844871098360577,-0.00590388179880642,NA,"cg04200411;cg04308225","CoRSIV"
"chr18",44561718,44561725,0.999910303772056,0.00294018128729749,"LINC01478","cg16053920;cg24883732","CoRSIV"
"chr19",865897,866120,0.810929893494595,-0.00596710262702468,NA,"cg22874772;cg26149567","CoRSIV"
"chr19",6710658,6710827,0.999910303772056,0.0187943617723785,"C3","cg24476033;cg18771553","CoRSIV"
"chr19",7967913,7967946,0.999910303772056,0.016975926953538,"ELAVL1","cg23850205;cg27497751","CoRSIV"
"chr19",12377078,12377156,0.999910303772056,0.0112630322676898,NA,"cg01418618;cg10372770","CoRSIV"
"chr19",18888799,18889003,0.999910303772056,0.0190885965545611,"GDF1, CERS1","cg15190383;cg05365033","CoRSIV"
"chr19",19368775,19369197,0.999910303772056,-0.00557649542625747,NA,"cg03775416;cg26136534","CoRSIV"
"chr19",22234992,22235850,0.999910303772056,0.00979954860656432,NA,"cg22620746;cg06394874","CoRSIV"
"chr19",40729274,40729386,0.810929893494595,0.0467991412114238,"ITPKC","cg08871608;cg19605788","CoRSIV"
"chr19",47017048,47017050,0.999910303772056,0.0311631642455243,NA,"cg13801271;cg15825916","CoRSIV"
"chr19",50204707,50204862,0.999910303772056,0.00813415336786026,"MYH14","cg24201033;cg14318858","CoRSIV"
"chr19",50249584,50249776,0.999910303772056,-0.00244615426172211,"MYH14","cg26744682;cg03337057","CoRSIV"
"chr19",50931432,50931515,0.999910303772056,0.00359551001790281,NA,"cg15007959;cg15690347","CoRSIV"
"chr19",54369681,54370016,0.999910303772056,0.00507279748891731,"LAIR1","cg03585419;cg19717326","CoRSIV"
"chr19",57989182,57989282,0.999910303772056,-4.30897058823362e-05,"ZNF606","cg21489303;cg23391173","CoRSIV"
"chr19",58556044,58556185,0.954501144118425,0.0147518753000852,"UBE2M","cg09677268;cg27520319","CoRSIV"
"chr20",47013687,47013841,0.999910303772056,0.00951203000809893,"EYA2","cg07019386;cg25181043","CoRSIV"
"chr20",59542578,59542589,0.999910303772056,0.0407761590549872,NA,"cg21158163;cg19181528","CoRSIV"
"chr21",30396349,30396586,0.969749802012569,0.00915769762233585,"KRTAP13-1","cg24751378;cg03117949","CoRSIV"
"chr21",38120350,38120466,0.999910303772056,0.00162721068755329,"KCNJ6, DSCR4","cg23286646;cg01853561","CoRSIV"
"chr21",40823680,40823722,0.999910303772056,0.00430003571611271,"DSCAM","cg15616257;cg11778840","CoRSIV"
"chr21",44105265,44105474,0.999910303772056,-0.0197970304543904,"TRAPPC10","cg23590273;cg16784985","CoRSIV"
"chr22",42394853,42395067,0.999910303772056,0.0209773250971867,"NFAM1","cg01059385;cg22189786","CoRSIV"
"chr22",42525206,42525748,0.999910303772056,0.0155948911764705,NA,"cg04692870;cg07016288","CoRSIV"
"chr22",42548783,42548792,0.709514259624422,0.0330611673448424,NA,"cg15557168;cg05082376","CoRSIV"
"chr22",46285638,46285682,0.999910303772056,0.0171453915464621,"TTC38","cg12301347;cg15236483","CoRSIV"
"chr22",50629038,50629110,0.999910303772056,0.001542319885763,NA,"cg19214594;cg16294310","CoRSIV"
"chr1",145385391,145385677,0.999910303772056,0.00145395486274511,"NBPF20","cg00701051;cg24874173","CoRSIV"
"chr1",149147625,149148312,0.999910303772056,-0.00946404305797102,NA,"cg19769301;cg27587661","CoRSIV"
"chr2",91848124,91848128,0.999910303772056,-0.00227493124296674,NA,"cg01613965;cg09398466","CoRSIV"
"chr3",53926284,53926598,0.999910303772056,0.000529653785166188,NA,"cg13419700;cg16814023","CoRSIV"
"chr5",1948875,1948995,0.999910303772056,0.00249371470588253,"AC124852.1","cg18366169;cg19575753","CoRSIV"
"chr6",27510966,27511112,0.999910303772056,0.00208972131287294,"AL021918.3","cg12492942;cg26105725","CoRSIV"
"chr6",103780364,103780468,0.999910303772056,-0.0062281771534527,NA,"cg25437304;cg09512891","CoRSIV"
"chr7",5111635,5111641,0.999910303772056,0.00583691602728048,"OR10AH1P","cg24626554;cg18848287","CoRSIV"
"chr7",128047441,128047452,0.999910303772056,-0.000980814535379372,"SND1","cg07017242;cg16409368","CoRSIV"
"chr7",149484880,149484985,0.999910303772056,0.0292846275929242,"ZNF746","cg01996567;cg00867835","CoRSIV"
"chr7",155025500,155025533,0.999910303772056,-0.0023982158994033,NA,"cg25063631;cg08570118","CoRSIV"
"chr10",131843725,131843798,0.999910303772056,-0.00468157769607847,NA,"cg07366506;cg27102141","CoRSIV"
"chr16",86795398,86795490,0.999910303772056,-0.00810905317817563,NA,"cg10332116;cg05457730","CoRSIV"
"chr19",36484832,36484913,0.999910303772056,0.00152317005456087,"ZNF566","cg25468802;cg15584071","CoRSIV"
"chr16",818451,819064,0.999910303772056,-0.00448969699062242,"AL023882.1","cg06630425;cg03433313","CoRSIV"
"chr2",70484546,70484614,0.999910303772056,0.00181529688832052,"TGFA","cg21989299;cg12850242","CoRSIV"
"chr4",56718320,56718365,0.999910303772056,-0.00354456919650463,NA,"cg18463607;cg20618651","CoRSIV"
"chr5",1174646,1174666,0.999910303772056,0.001273947526428,"CTD-3080P12.3","cg11100933;cg02124887","CoRSIV"
"chr9",139258938,139259074,0.999910303772056,-0.0104772669266839,NA,"cg14035368;cg18033770","CoRSIV"
"chr13",113296414,113296447,0.999910303772056,-0.00590494574595057,NA,"cg00557959;cg15756319","CoRSIV"
"chr14",54816093,54816172,0.999910303772056,-6.34724850810249e-05,NA,"cg02257953;cg23511824","CoRSIV"
"chr15",26874098,26874363,0.999910303772056,0.000790991401960806,"GABRA5, GABRB3","cg01251603;cg14859324","CoRSIV"
"chr16",2653280,2653306,0.999910303772056,0.000196722924978686,NA,"cg03314158;cg06035616","CoRSIV"
"chr17",62341026,62341028,0.999910303772056,-0.00291992583546465,NA,"cg10166044;cg18312782","CoRSIV"
"chr18",72167187,72167213,0.999910303772056,0.00337572253623184,NA,"cg26446133;cg25817165","CoRSIV"
"chr20",29550850,29551622,0.999910303772056,-0.017732459567775,"FAM242B","cg14709901;cg00157199","CoRSIV"
"chr1",228785987,228785992,0.999910303772056,-0.000597067759164529,NA,"cg01525538;cg16732787","CoRSIV"
"chr1",243264842,243265016,0.999910303772056,0.00734668605882357,"SDCCAG8","cg24502334;cg02356786","CoRSIV"
"chr7",5000111,5000219,0.999910303772056,-0.000794536402387161,"RNF216P1, RBAK-RBAKDN","cg02276823;cg25523580","CoRSIV"
"chr16",450837,450904,0.999910303772056,-0.000576030073316313,"RAB11FIP3","cg00481259;cg06180606","CoRSIV"
